Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Industry,Daily_Return
2019-12-03 00:00:00+00:00,199.81256103515625,232.7700042724609,233.17999267578125,230.77999877929688,231.47999572753903,1825400,AMGN,Health,-0.0030406883060376533
2019-12-04 00:00:00+00:00,200.765380859375,233.8800048828125,234.88999938964844,232.0,232.72999572753903,1908500,AMGN,Health,0.0047685681985283335
2019-12-05 00:00:00+00:00,200.3619384765625,233.4100036621093,233.7700042724609,231.4600067138672,233.69000244140625,2083600,AMGN,Health,-0.0020095216669605565
2019-12-06 00:00:00+00:00,200.6709747314453,233.7700042724609,235.0,233.19000244140625,234.67999267578125,1860900,AMGN,Health,0.0015423900229383225
2019-12-09 00:00:00+00:00,199.85546875,232.82000732421875,235.0500030517578,232.6300048828125,234.9600067138672,1867900,AMGN,Health,-0.004063896049424587
2019-12-10 00:00:00+00:00,200.7310485839844,233.83999633789065,235.1199951171875,231.509994506836,231.9199981689453,1494700,AMGN,Health,0.004381065174051679
2019-12-11 00:00:00+00:00,200.876953125,234.009994506836,234.97000122070312,233.02999877929688,234.02999877929688,1754100,AMGN,Health,0.0007268658338850376
2019-12-12 00:00:00+00:00,202.5766448974609,235.9900054931641,237.2400054931641,234.0599975585937,234.5800018310547,1851500,AMGN,Health,0.008461357791519575
2019-12-13 00:00:00+00:00,203.220458984375,236.7400054931641,238.1199951171875,235.13999938964844,235.6000061035156,2041200,AMGN,Health,0.0031781259248320204
2019-12-16 00:00:00+00:00,208.7657623291016,243.1999969482422,244.52999877929688,239.5,239.5,3047600,AMGN,Health,0.027287131288060706
2019-12-17 00:00:00+00:00,208.4567413330078,242.83999633789065,244.9900054931641,241.27999877929688,243.5800018310547,2382500,AMGN,Health,-0.0014802283317253417
2019-12-18 00:00:00+00:00,207.68418884277344,241.94000244140625,243.22000122070312,241.0200042724609,242.2100067138672,2956700,AMGN,Health,-0.003706056639349642
2019-12-19 00:00:00+00:00,207.5983123779297,241.83999633789065,243.3000030517578,239.92999267578125,242.77999877929688,2070800,AMGN,Health,-0.00041349543902335917
2019-12-20 00:00:00+00:00,208.6455841064453,243.0599975585937,244.57000732421875,240.6999969482422,244.57000732421875,5091600,AMGN,Health,0.005044702514773292
2019-12-23 00:00:00+00:00,208.619857788086,243.02999877929688,244.0,241.58999633789065,243.97999572753903,1686200,AMGN,Health,-0.00012330152334394384
2019-12-24 00:00:00+00:00,208.0189819335937,242.3300018310547,243.1000061035156,241.72000122070312,242.82000732421875,612800,AMGN,Health,-0.002880242853499859
2019-12-26 00:00:00+00:00,207.6498413085937,241.8999938964844,243.63999938964844,241.32000732421875,242.72000122070312,1098300,AMGN,Health,-0.001774552598848178
